date | value
2012-23-21 | 25.2
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-01-01 | asdas      
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 |
2012-01-11 | 
2012-01-11 
2012-01-11
2012-02-29 | 1
2013-02-30 | 1
201-02-29 | 1
2012-13-29 | 1
2012-03-32 | 1
2012-02-30 | 1
2012-01-31 | 1
2012-02-29 | 1
2012-03-31 | 1
2012-04-30 | 1
2012-04-31 | 1
2012-05-31 | 1
2012-05-32 | 1
2012-06-31 | 1
2012-06-30 | 1
2012-07-31 | 1
2012-07-32 | 1
2012-08-31 | 1
2012-08-32 | 1
2012-09-31 | 1
2012-09-30 | 1
2012-10-31 | 1
2012-10-32 | 1
2012-11-31 | 1
2012-11-30 | 1
2012-12-31 | 1
2012-12-32 | 1
2004-10-31 | 1
2006-12-13 | 2
